Currency,EffectiveDate,EndingRange,Group,"Group Description",Location,"Location Type",OfferTermCode,PriceDescription,PricePerUnit,"Product Family",RateCode,RelatedTo,SKU,StartingRange,TermType,Unit,Version,"_bkt","_cd","_eventtype_color","_indextime","_raw","_si","_sourcetype","_time",eventtype,host,index,linecount,operation,punct,serviceCode,serviceName,source,sourcetype,"splunk_server","splunk_server_group",tag,"tag::eventtype",timestamp,usageType
USD,"2019-07-01",Inf,"Ingested Logs","Existing system, application, and custom log files","AWS GovCloud (US)","AWS Region",JRTCKXETXF,"$0.675 per GB log data ingested - AWS GovCloud (US)","0.6750000000","Data Payload","YEASP5HXKY9HDU5U.JRTCKXETXF.6YS6EN2CT7",SSNSJENVU973ECHE,YEASP5HXKY9HDU5U,0,OnDemand,GB,Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:8505",,1567190918,"""YEASP5HXKY9HDU5U"",""JRTCKXETXF"",""YEASP5HXKY9HDU5U.JRTCKXETXF.6YS6EN2CT7"",""OnDemand"",""$0.675 per GB log data ingested - AWS GovCloud (US)"",""2019-07-01"",""0"",""Inf"",""GB"",""0.6750000000"",""USD"",""SSNSJENVU973ECHE"",""Data Payload"",""AmazonCloudWatch"",""AWS GovCloud (US)"",""AWS Region"",,""Ingested Logs"",""Existing system, application, and custom log files"",""UGW1-DataProcessing-Bytes"",""PutLogEvents"",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,PutLogEvents,""""","""","".."","""",""$.______-___()"",""--"","""","""","""",""."",""",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand_central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"UGW1-DataProcessing-Bytes"
USD,"2019-07-01",Inf,"Ingested Logs","Existing system, application, and custom log files","Asia Pacific (Tokyo)","AWS Region",JRTCKXETXF,"$0.76 per GB log data ingested - Asia Pacific (Tokyo)","0.7600000000","Data Payload","CWB2GTZJXNX3TA6H.JRTCKXETXF.6YS6EN2CT7",SSNSJENVU973ECHE,CWB2GTZJXNX3TA6H,0,OnDemand,GB,Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:8011",,1567190918,"""CWB2GTZJXNX3TA6H"",""JRTCKXETXF"",""CWB2GTZJXNX3TA6H.JRTCKXETXF.6YS6EN2CT7"",""OnDemand"",""$0.76 per GB log data ingested - Asia Pacific (Tokyo)"",""2019-07-01"",""0"",""Inf"",""GB"",""0.7600000000"",""USD"",""SSNSJENVU973ECHE"",""Data Payload"",""AmazonCloudWatch"",""Asia Pacific (Tokyo)"",""AWS Region"",,""Ingested Logs"",""Existing system, application, and custom log files"",""APN1-DataProcessing-Bytes"",""PutLogEvents"",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,PutLogEvents,""""","""","".."","""",""$.______-___()"",""--"","""","""","""",""."",""",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand_central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"APN1-DataProcessing-Bytes"
USD,"2019-07-01",Inf,"Ingested Logs","Existing system, application, and custom log files","EU (Stockholm)","AWS Region",JRTCKXETXF,"$0.54 per GB log data ingested - EU (Stockholm)","0.5400000000","Data Payload","2WXCZPMH3FF7XAAZ.JRTCKXETXF.6YS6EN2CT7",SSNSJENVU973ECHE,2WXCZPMH3FF7XAAZ,0,OnDemand,GB,Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:7852",,1567190918,"""2WXCZPMH3FF7XAAZ"",""JRTCKXETXF"",""2WXCZPMH3FF7XAAZ.JRTCKXETXF.6YS6EN2CT7"",""OnDemand"",""$0.54 per GB log data ingested - EU (Stockholm)"",""2019-07-01"",""0"",""Inf"",""GB"",""0.5400000000"",""USD"",""SSNSJENVU973ECHE"",""Data Payload"",""AmazonCloudWatch"",""EU (Stockholm)"",""AWS Region"",,""Ingested Logs"",""Existing system, application, and custom log files"",""EUN1-DataProcessing-Bytes"",""PutLogEvents"",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,PutLogEvents,""""","""","".."","""",""$.______-__()"",""--"","""","""","""",""."",""""",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand_central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"EUN1-DataProcessing-Bytes"
USD,"2019-07-01",Inf,"Ingested Logs","Existing system, application, and custom log files","South America (Sao Paulo)","AWS Region",JRTCKXETXF,"$0.90 per GB log data ingested - South America (Sao Paulo)","0.9000000000","Data Payload","AW4EB5RGNN8S75Q8.JRTCKXETXF.6YS6EN2CT7",SSNSJENVU973ECHE,AW4EB5RGNN8S75Q8,0,OnDemand,GB,Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:7718",,1567190918,"""AW4EB5RGNN8S75Q8"",""JRTCKXETXF"",""AW4EB5RGNN8S75Q8.JRTCKXETXF.6YS6EN2CT7"",""OnDemand"",""$0.90 per GB log data ingested - South America (Sao Paulo)"",""2019-07-01"",""0"",""Inf"",""GB"",""0.9000000000"",""USD"",""SSNSJENVU973ECHE"",""Data Payload"",""AmazonCloudWatch"",""South America (Sao Paulo)"",""AWS Region"",,""Ingested Logs"",""Existing system, application, and custom log files"",""SAE1-DataProcessing-Bytes"",""PutLogEvents"",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,PutLogEvents,""""","""","".."","""",""$.______-___(_)"",""--"","""","""","""",""."",",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand_central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"SAE1-DataProcessing-Bytes"
USD,"2019-07-01",Inf,"Ingested Logs","Existing system, application, and custom log files","US West (Oregon)","AWS Region",JRTCKXETXF,"$0.50 per GB log data ingested - US West (Oregon)","0.5000000000","Data Payload","CWY7X4MZ4F3MP5SD.JRTCKXETXF.6YS6EN2CT7",SSNSJENVU973ECHE,CWY7X4MZ4F3MP5SD,0,OnDemand,GB,Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:7172",,1567190918,"""CWY7X4MZ4F3MP5SD"",""JRTCKXETXF"",""CWY7X4MZ4F3MP5SD.JRTCKXETXF.6YS6EN2CT7"",""OnDemand"",""$0.50 per GB log data ingested - US West (Oregon)"",""2019-07-01"",""0"",""Inf"",""GB"",""0.5000000000"",""USD"",""SSNSJENVU973ECHE"",""Data Payload"",""AmazonCloudWatch"",""US West (Oregon)"",""AWS Region"",,""Ingested Logs"",""Existing system, application, and custom log files"",""USW2-DataProcessing-Bytes"",""PutLogEvents"",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,PutLogEvents,""""","""","".."","""",""$.______-___()"",""--"","""","""","""",""."",""",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand_central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"USW2-DataProcessing-Bytes"
USD,"2019-07-01",Inf,"Ingested Logs","Existing system, application, and custom log files","US East (Ohio)","AWS Region",JRTCKXETXF,"$0.50 per GB log data ingested - US East (Ohio)","0.5000000000","Data Payload","5T6Z6V26DSR7SZ49.JRTCKXETXF.6YS6EN2CT7",SSNSJENVU973ECHE,5T6Z6V26DSR7SZ49,0,OnDemand,GB,Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:7001",,1567190918,"""5T6Z6V26DSR7SZ49"",""JRTCKXETXF"",""5T6Z6V26DSR7SZ49.JRTCKXETXF.6YS6EN2CT7"",""OnDemand"",""$0.50 per GB log data ingested - US East (Ohio)"",""2019-07-01"",""0"",""Inf"",""GB"",""0.5000000000"",""USD"",""SSNSJENVU973ECHE"",""Data Payload"",""AmazonCloudWatch"",""US East (Ohio)"",""AWS Region"",,""Ingested Logs"",""Existing system, application, and custom log files"",""USE2-DataProcessing-Bytes"",""PutLogEvents"",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,PutLogEvents,""""","""","".."","""",""$.______-___()"",""--"","""","""","""",""."",""",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand_central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"USE2-DataProcessing-Bytes"
USD,"2019-07-01",Inf,"Ingested Logs","Existing system, application, and custom log files","EU (Frankfurt)","AWS Region",JRTCKXETXF,"$0.63 per GB log data ingested - EU (Frankfurt)","0.6300000000","Data Payload","XAE7GPNAZR6AWCQK.JRTCKXETXF.6YS6EN2CT7",SSNSJENVU973ECHE,XAE7GPNAZR6AWCQK,0,OnDemand,GB,Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:5570",,1567190918,"""XAE7GPNAZR6AWCQK"",""JRTCKXETXF"",""XAE7GPNAZR6AWCQK.JRTCKXETXF.6YS6EN2CT7"",""OnDemand"",""$0.63 per GB log data ingested - EU (Frankfurt)"",""2019-07-01"",""0"",""Inf"",""GB"",""0.6300000000"",""USD"",""SSNSJENVU973ECHE"",""Data Payload"",""AmazonCloudWatch"",""EU (Frankfurt)"",""AWS Region"",,""Ingested Logs"",""Existing system, application, and custom log files"",""EUC1-DataProcessing-Bytes"",""PutLogEvents"",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,PutLogEvents,""""","""","".."","""",""$.______-__()"",""--"","""","""","""",""."",""""",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand_central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"EUC1-DataProcessing-Bytes"
USD,"2019-07-01",Inf,"Ingested Logs","Existing system, application, and custom log files","Canada (Central)","AWS Region",JRTCKXETXF,"$0.55 per GB log data ingested - Canada (Central)","0.5500000000","Data Payload","TDKFZS2JHWZ5G8X2.JRTCKXETXF.6YS6EN2CT7",SSNSJENVU973ECHE,TDKFZS2JHWZ5G8X2,0,OnDemand,GB,Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:5537",,1567190918,"""TDKFZS2JHWZ5G8X2"",""JRTCKXETXF"",""TDKFZS2JHWZ5G8X2.JRTCKXETXF.6YS6EN2CT7"",""OnDemand"",""$0.55 per GB log data ingested - Canada (Central)"",""2019-07-01"",""0"",""Inf"",""GB"",""0.5500000000"",""USD"",""SSNSJENVU973ECHE"",""Data Payload"",""AmazonCloudWatch"",""Canada (Central)"",""AWS Region"",,""Ingested Logs"",""Existing system, application, and custom log files"",""CAN1-DataProcessing-Bytes"",""PutLogEvents"",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,PutLogEvents,""""","""","".."","""",""$.______-__()"",""--"","""","""","""",""."",""""",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand_central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"CAN1-DataProcessing-Bytes"
USD,"2019-07-01",Inf,"Ingested Logs","Existing system, application, and custom log files","US West (N. California)","AWS Region",JRTCKXETXF,"$0.67 per GB log data ingested - US West (Northern California)","0.6700000000","Data Payload","ZQZVEJJY7MRQHAQV.JRTCKXETXF.6YS6EN2CT7",SSNSJENVU973ECHE,ZQZVEJJY7MRQHAQV,0,OnDemand,GB,Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:5103",,1567190918,"""ZQZVEJJY7MRQHAQV"",""JRTCKXETXF"",""ZQZVEJJY7MRQHAQV.JRTCKXETXF.6YS6EN2CT7"",""OnDemand"",""$0.67 per GB log data ingested - US West (Northern California)"",""2019-07-01"",""0"",""Inf"",""GB"",""0.6700000000"",""USD"",""SSNSJENVU973ECHE"",""Data Payload"",""AmazonCloudWatch"",""US West (N. California)"",""AWS Region"",,""Ingested Logs"",""Existing system, application, and custom log files"",""USW1-DataProcessing-Bytes"",""PutLogEvents"",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,PutLogEvents,""""","""","".."","""",""$.______-___(_)"",""--"","""","""","""",""."",",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand_central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"USW1-DataProcessing-Bytes"
USD,"2019-07-01",Inf,"Ingested Logs","Existing system, application, and custom log files","EU (Paris)","AWS Region",JRTCKXETXF,"$0.5985 per GB log data ingested - EU (Paris)","0.5985000000","Data Payload","BN4XSGJA9MMZKCP7.JRTCKXETXF.6YS6EN2CT7",SSNSJENVU973ECHE,BN4XSGJA9MMZKCP7,0,OnDemand,GB,Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:11536",,1567190918,"""BN4XSGJA9MMZKCP7"",""JRTCKXETXF"",""BN4XSGJA9MMZKCP7.JRTCKXETXF.6YS6EN2CT7"",""OnDemand"",""$0.5985 per GB log data ingested - EU (Paris)"",""2019-07-01"",""0"",""Inf"",""GB"",""0.5985000000"",""USD"",""SSNSJENVU973ECHE"",""Data Payload"",""AmazonCloudWatch"",""EU (Paris)"",""AWS Region"",,""Ingested Logs"",""Existing system, application, and custom log files"",""EUW3-DataProcessing-Bytes"",""PutLogEvents"",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,PutLogEvents,""""","""","".."","""",""$.______-__()"",""--"","""","""","""",""."",""""",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand_central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"EUW3-DataProcessing-Bytes"
