Currency,EffectiveDate,EndingRange,Group,"Group Description",Location,"Location Type",OfferTermCode,PriceDescription,PricePerUnit,"Product Family",RateCode,RelatedTo,SKU,StartingRange,"Storage Media",TermType,Unit,Version,"_bkt","_cd","_eventtype_color","_indextime","_raw","_si","_sourcetype","_time",eventtype,host,index,linecount,operation,punct,serviceCode,serviceName,source,sourcetype,"splunk_server","splunk_server_group",tag,"tag::eventtype",timestamp,usageType
USD,"2019-07-01",Inf,,,"AWS GovCloud (US)","AWS Region",JRTCKXETXF,"$0.0390 per GB-mo of log storage - AWS GovCloud (US)","0.0390000000","Storage Snapshot","ARD5JQCWQSS5W94X.JRTCKXETXF.6YS6EN2CT7",6XTVPDAM3VF25UTA,ARD5JQCWQSS5W94X,0,"Amazon S3",OnDemand,"GB-Mo",Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:8490",,1567190918,"""ARD5JQCWQSS5W94X"",""JRTCKXETXF"",""ARD5JQCWQSS5W94X.JRTCKXETXF.6YS6EN2CT7"",""OnDemand"",""$0.0390 per GB-mo of log storage - AWS GovCloud (US)"",""2019-07-01"",""0"",""Inf"",""GB-Mo"",""0.0390000000"",""USD"",""6XTVPDAM3VF25UTA"",""Storage Snapshot"",""AmazonCloudWatch"",""AWS GovCloud (US)"",""AWS Region"",""Amazon S3"",,,""UGW1-TimedStorage-ByteHrs"","""",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,"",""""","""","".."","""",""$.__-____-___()"",""--"","""","""",""-"","".""",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand-central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"UGW1-TimedStorage-ByteHrs"
USD,"2019-07-01",Inf,,,"EU (Stockholm)","AWS Region",JRTCKXETXF,"$0.028 per GB-mo of log storage - EU (Stockholm)","0.0280000000","Storage Snapshot","FC3W9RUMP83VDX52.JRTCKXETXF.6YS6EN2CT7",6XTVPDAM3VF25UTA,FC3W9RUMP83VDX52,0,"Amazon S3",OnDemand,"GB-Mo",Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:8347",,1567190918,"""FC3W9RUMP83VDX52"",""JRTCKXETXF"",""FC3W9RUMP83VDX52.JRTCKXETXF.6YS6EN2CT7"",""OnDemand"",""$0.028 per GB-mo of log storage - EU (Stockholm)"",""2019-07-01"",""0"",""Inf"",""GB-Mo"",""0.0280000000"",""USD"",""6XTVPDAM3VF25UTA"",""Storage Snapshot"",""AmazonCloudWatch"",""EU (Stockholm)"",""AWS Region"",""Amazon S3"",,,""EUN1-TimedStorage-ByteHrs"","""",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,"",""""","""","".."","""",""$.__-____-__()"",""--"","""","""",""-"",""."",",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand-central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"EUN1-TimedStorage-ByteHrs"
USD,"2019-07-01",Inf,,,"Asia Pacific (Seoul)","AWS Region",JRTCKXETXF,"$0.0314 per GB-mo of log storage - Asia Pacific (Seoul)","0.0314000000","Storage Snapshot","E7V5NF3GN7MQKCB6.JRTCKXETXF.6YS6EN2CT7",6XTVPDAM3VF25UTA,E7V5NF3GN7MQKCB6,0,"Amazon S3",OnDemand,"GB-Mo",Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:7526",,1567190918,"""E7V5NF3GN7MQKCB6"",""JRTCKXETXF"",""E7V5NF3GN7MQKCB6.JRTCKXETXF.6YS6EN2CT7"",""OnDemand"",""$0.0314 per GB-mo of log storage - Asia Pacific (Seoul)"",""2019-07-01"",""0"",""Inf"",""GB-Mo"",""0.0314000000"",""USD"",""6XTVPDAM3VF25UTA"",""Storage Snapshot"",""AmazonCloudWatch"",""Asia Pacific (Seoul)"",""AWS Region"",""Amazon S3"",,,""APN2-TimedStorage-ByteHrs"","""",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,"",""""","""","".."","""",""$.__-____-___()"",""--"","""","""",""-"","".""",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand-central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"APN2-TimedStorage-ByteHrs"
USD,"2019-07-01",Inf,,,"EU (Ireland)","AWS Region",JRTCKXETXF,"$0.03 per GB-mo of log storage - EU (Ireland)","0.0300000000","Storage Snapshot","M93YPPU987S2T6U9.JRTCKXETXF.6YS6EN2CT7",6XTVPDAM3VF25UTA,M93YPPU987S2T6U9,0,"Amazon S3",OnDemand,"GB-Mo",Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:7270",,1567190918,"""M93YPPU987S2T6U9"",""JRTCKXETXF"",""M93YPPU987S2T6U9.JRTCKXETXF.6YS6EN2CT7"",""OnDemand"",""$0.03 per GB-mo of log storage - EU (Ireland)"",""2019-07-01"",""0"",""Inf"",""GB-Mo"",""0.0300000000"",""USD"",""6XTVPDAM3VF25UTA"",""Storage Snapshot"",""AmazonCloudWatch"",""EU (Ireland)"",""AWS Region"",""Amazon S3"",,,""EU-TimedStorage-ByteHrs"","""",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,"",""""","""","".."","""",""$.__-____-__()"",""--"","""","""",""-"",""."",",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand-central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"EU-TimedStorage-ByteHrs"
USD,"2019-07-01",Inf,,,"US West (Oregon)","AWS Region",JRTCKXETXF,"$0.03 per GB-mo of log storage - US West (Oregon)","0.0300000000","Storage Snapshot","MN45SJANDTCPR9QA.JRTCKXETXF.6YS6EN2CT7",6XTVPDAM3VF25UTA,MN45SJANDTCPR9QA,0,"Amazon S3",OnDemand,"GB-Mo",Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:6767",,1567190918,"""MN45SJANDTCPR9QA"",""JRTCKXETXF"",""MN45SJANDTCPR9QA.JRTCKXETXF.6YS6EN2CT7"",""OnDemand"",""$0.03 per GB-mo of log storage - US West (Oregon)"",""2019-07-01"",""0"",""Inf"",""GB-Mo"",""0.0300000000"",""USD"",""6XTVPDAM3VF25UTA"",""Storage Snapshot"",""AmazonCloudWatch"",""US West (Oregon)"",""AWS Region"",""Amazon S3"",,,""USW2-TimedStorage-ByteHrs"","""",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,"",""""","""","".."","""",""$.__-____-___()"",""--"","""","""",""-"","".""",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand-central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"USW2-TimedStorage-ByteHrs"
USD,"2019-07-01",Inf,,,"Asia Pacific (Mumbai)","AWS Region",JRTCKXETXF,"$0.03 per GB-mo of log storage - Asia Pacific (Mumbai)","0.0300000000","Storage Snapshot","M9PG5USRE2QBB6FU.JRTCKXETXF.6YS6EN2CT7",6XTVPDAM3VF25UTA,M9PG5USRE2QBB6FU,0,"Amazon S3",OnDemand,"GB-Mo",Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:6389",,1567190918,"""M9PG5USRE2QBB6FU"",""JRTCKXETXF"",""M9PG5USRE2QBB6FU.JRTCKXETXF.6YS6EN2CT7"",""OnDemand"",""$0.03 per GB-mo of log storage - Asia Pacific (Mumbai)"",""2019-07-01"",""0"",""Inf"",""GB-Mo"",""0.0300000000"",""USD"",""6XTVPDAM3VF25UTA"",""Storage Snapshot"",""AmazonCloudWatch"",""Asia Pacific (Mumbai)"",""AWS Region"",""Amazon S3"",,,""APS3-TimedStorage-ByteHrs"","""",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,"",""""","""","".."","""",""$.__-____-___()"",""--"","""","""",""-"","".""",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand-central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"APS3-TimedStorage-ByteHrs"
USD,"2019-07-01",Inf,,,"EU (London)","AWS Region",JRTCKXETXF,"$0.0315 per GB-mo of log storage -  EU (London)","0.0315000000","Storage Snapshot","7YQ22RBNQBPK86VK.JRTCKXETXF.6YS6EN2CT7",6XTVPDAM3VF25UTA,7YQ22RBNQBPK86VK,0,"Amazon S3",OnDemand,"GB-Mo",Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:5914",,1567190918,"""7YQ22RBNQBPK86VK"",""JRTCKXETXF"",""7YQ22RBNQBPK86VK.JRTCKXETXF.6YS6EN2CT7"",""OnDemand"",""$0.0315 per GB-mo of log storage -  EU (London)"",""2019-07-01"",""0"",""Inf"",""GB-Mo"",""0.0315000000"",""USD"",""6XTVPDAM3VF25UTA"",""Storage Snapshot"",""AmazonCloudWatch"",""EU (London)"",""AWS Region"",""Amazon S3"",,,""EUW2-TimedStorage-ByteHrs"","""",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,"",""""","""","".."","""",""$.__-____-___()"",""--"","""","""",""-"","".""",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand-central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"EUW2-TimedStorage-ByteHrs"
USD,"2019-07-01",Inf,,,"Asia Pacific (Sydney)","AWS Region",JRTCKXETXF,"$0.033 per GB-mo of log storage - Asia Pacific (Sydney)","0.0330000000","Storage Snapshot","SXS5MH23MB3SHA9C.JRTCKXETXF.6YS6EN2CT7",6XTVPDAM3VF25UTA,SXS5MH23MB3SHA9C,0,"Amazon S3",OnDemand,"GB-Mo",Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:5780",,1567190918,"""SXS5MH23MB3SHA9C"",""JRTCKXETXF"",""SXS5MH23MB3SHA9C.JRTCKXETXF.6YS6EN2CT7"",""OnDemand"",""$0.033 per GB-mo of log storage - Asia Pacific (Sydney)"",""2019-07-01"",""0"",""Inf"",""GB-Mo"",""0.0330000000"",""USD"",""6XTVPDAM3VF25UTA"",""Storage Snapshot"",""AmazonCloudWatch"",""Asia Pacific (Sydney)"",""AWS Region"",""Amazon S3"",,,""APS2-TimedStorage-ByteHrs"","""",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,"",""""","""","".."","""",""$.__-____-___()"",""--"","""","""",""-"","".""",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand-central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"APS2-TimedStorage-ByteHrs"
USD,"2019-07-01",Inf,,,"EU (Paris)","AWS Region",JRTCKXETXF,"$0.0315 per GB-mo of log storage - EU (Paris)","0.0315000000","Storage Snapshot","ZCM3MJRQPU2BK43T.JRTCKXETXF.6YS6EN2CT7",6XTVPDAM3VF25UTA,ZCM3MJRQPU2BK43T,0,"Amazon S3",OnDemand,"GB-Mo",Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:4928",,1567190918,"""ZCM3MJRQPU2BK43T"",""JRTCKXETXF"",""ZCM3MJRQPU2BK43T.JRTCKXETXF.6YS6EN2CT7"",""OnDemand"",""$0.0315 per GB-mo of log storage - EU (Paris)"",""2019-07-01"",""0"",""Inf"",""GB-Mo"",""0.0315000000"",""USD"",""6XTVPDAM3VF25UTA"",""Storage Snapshot"",""AmazonCloudWatch"",""EU (Paris)"",""AWS Region"",""Amazon S3"",,,""EUW3-TimedStorage-ByteHrs"","""",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,"",""""","""","".."","""",""$.__-____-__()"",""--"","""","""",""-"",""."",",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand-central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"EUW3-TimedStorage-ByteHrs"
USD,"2019-07-01",Inf,,,"South America (Sao Paulo)","AWS Region",JRTCKXETXF,"$0.0408 per GB-mo of log storage - South America (Sao Paulo)","0.0408000000","Storage Snapshot","A2U5G2V8PAN8BBGE.JRTCKXETXF.6YS6EN2CT7",6XTVPDAM3VF25UTA,A2U5G2V8PAN8BBGE,0,"Amazon S3",OnDemand,"GB-Mo",Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:10069",,1567190918,"""A2U5G2V8PAN8BBGE"",""JRTCKXETXF"",""A2U5G2V8PAN8BBGE.JRTCKXETXF.6YS6EN2CT7"",""OnDemand"",""$0.0408 per GB-mo of log storage - South America (Sao Paulo)"",""2019-07-01"",""0"",""Inf"",""GB-Mo"",""0.0408000000"",""USD"",""6XTVPDAM3VF25UTA"",""Storage Snapshot"",""AmazonCloudWatch"",""South America (Sao Paulo)"",""AWS Region"",""Amazon S3"",,,""SAE1-TimedStorage-ByteHrs"","""",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,"",""""","""","".."","""",""$.__-____-___(_)"",""--"","""","""",""-"","".",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand-central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"SAE1-TimedStorage-ByteHrs"
