PriceDescription,PricePerUnit,StartingRange,EndingRange,Description,Location
"Tier 3 $0.025 per GB of data ingested","0.0250000000",2048000,Inf,"Per GB of data ingested","Asia Pacific (Tokyo)"
"Tier 2 $0.031 per GB of data ingested","0.0310000000",512000,2048000,"Per GB of data ingested","Asia Pacific (Tokyo)"
"Tier 1 $0.036 per GB of data ingested","0.0360000000",0,512000,"Per GB of data ingested","Asia Pacific (Tokyo)"
"Tier 3 $0.0209 per GB of data ingested","0.0209000000",2048000,Inf,"Per GB of data ingested","EU (Stockholm)"
"Tier 2 $0.02565 per GB of data ingested","0.0256500000",512000,2048000,"Per GB of data ingested","EU (Stockholm)"
"Tier 1 $0.02945 per GB of data ingested","0.0294500000",0,512000,"Per GB of data ingested","EU (Stockholm)"
"Tier 2 $0.032 per GB of data ingested","0.0320000000",512000,2048000,"Per GB of data ingested","Asia Pacific (Sydney)"
"Tier 1 $0.037 per GB of data ingested","0.0370000000",0,512000,"Per GB of data ingested","Asia Pacific (Sydney)"
"Tier 3 $0.020 per GB of data ingested","0.0200000000",2048000,Inf,"Per GB of data ingested","US East (N. Virginia)"
"Tier 2 $0.025 per GB of data ingested","0.0250000000",512000,2048000,"Per GB of data ingested","US East (N. Virginia)"
"Tier 1 $0.029 per GB of data ingested","0.0290000000",0,512000,"Per GB of data ingested","US East (N. Virginia)"
"Tier 3 $0.024 per GB of data ingested","0.0240000000",2048000,Inf,"Per GB of data ingested","US West (N. California)"
"Tier 2 $0.030 per GB of data ingested","0.0300000000",512000,2048000,"Per GB of data ingested","US West (N. California)"
"Tier 1 $0.035 per GB of data ingested","0.0350000000",0,512000,"Per GB of data ingested","US West (N. California)"
"Tier 2 $0.03 per GB of data ingested","0.0300000000",512000,2048000,"Per GB of data ingested","EU (London)"
"Tier 3 $0.04 per GB of data ingested","0.0400000000",2048000,Inf,"Per GB of data ingested","South America (Sao Paulo)"
"Tier 2 $0.05 per GB of data ingested","0.0500000000",512000,2048000,"Per GB of data ingested","South America (Sao Paulo)"
"Tier 1 $0.058 per GB of data ingested","0.0580000000",0,512000,"Per GB of data ingested","South America (Sao Paulo)"
"Tier 3 $0.022 per GB of data ingested","0.0220000000",2048000,Inf,"Per GB of data ingested","Canada (Central)"
"Tier 2 $0.028 per GB of data ingested","0.0280000000",512000,2048000,"Per GB of data ingested","Canada (Central)"
"Tier 1 $0.032 per GB of data ingested","0.0320000000",0,512000,"Per GB of data ingested","Canada (Central)"
"Tier 1 $0.034 per GB of data ingested","0.0340000000",0,512000,"Per GB of data ingested","Asia Pacific (Mumbai)"
"Tier 3 $0.024 per GB of data ingested in AWS GovCloud (US-East)","0.0240000000",2048000,Inf,"Per GB of data ingested","AWS GovCloud (US-East)"
"Tier 2 $0.03 per GB of data ingested in AWS GovCloud (US-East)","0.0300000000",512000,2048000,"Per GB of data ingested","AWS GovCloud (US-East)"
"Tier 1 $0.035 per GB of data ingested in AWS GovCloud (US-East)","0.0350000000",0,512000,"Per GB of data ingested","AWS GovCloud (US-East)"
"Tier 3 $0.027 per GB for of data ingested in Asia Pacific (Hong Kong)","0.0270000000",2048000,Inf,"Per GB of data ingested","Asia Pacific (Hong Kong)"
"Tier 2 $0.03375 per GB of data ingested in Asia Pacific (Hong Kong)","0.0337500000",512000,2048000,"Per GB of data ingested","Asia Pacific (Hong Kong)"
"Tier 1 $0.03915 per GB of data ingested in Asia Pacific (Hong Kong)","0.0391500000",0,512000,"Per GB of data ingested","Asia Pacific (Hong Kong)"
"Tier 3 $0.023 per GB of data ingested","0.0230000000",2048000,Inf,"Per GB of data ingested","EU (Frankfurt)"
"Tier 2 $0.029 per GB of data ingested","0.0290000000",512000,2048000,"Per GB of data ingested","EU (Frankfurt)"
"Tier 1 $0.033 per GB of data ingested","0.0330000000",0,512000,"Per GB of data ingested","EU (Frankfurt)"
"Tier 2 $0.027 per GB of data ingested","0.0270000000",512000,2048000,"Per GB of data ingested","EU (Ireland)"
"Tier 1 $0.031 per GB of data ingested","0.0310000000",0,512000,"Per GB of data ingested","EU (Ireland)"
