label,lat,location,lon,region
"Asia Pacific (Tokyo)","35.41",Tokyo,"139.42","ap-northeast-1"
"Asia Pacific (Seoul)","37.56",Seoul,"126.96","ap-northeast-2"
"Asia Pacific (Singapore)","1.37",Singapore,"103.8","ap-southeast-1"
"Asia Pacific (Sydney)","-33.86",Sydney,"151.2","ap-southeast-2"
"Asia Pacific (Mumbai)","19.08",Mumbai,"72.74","ap-south-1"
"EU (Frankfurt)","50.11",Frankfurt,"8.68","eu-central-1"
"EU (Ireland)",53,Ireland,"-8","eu-west-1"
"EU (London)","51.51",London,"-0.13","eu-west-2"
"South America (Sao Paulo)","-23.34","Sao Paulo","-46.38","sa-east-1"
"US East (N. Virginia)","38.13",Virginia,"-78.45","us-east-1"
"US East (Ohio)","39.96",Ohio,"-82.99","us-east-2"
"US West (N. California)","41.48",California,"-120.53","us-west-1"
"US West (Oregon)","46.15",Oregon,"-123.88","us-west-2"
"Canada (Central)","45.5",Montreal,"-73.57","ca-central-1"
"China (Beijing)","39.92",Beijing,"116.38","cn-north-1"
"AWS GovCloud (US)","38.90",GovCloud,"-77.02","us-gov-west-1"
